num_sources,mic_dist,sample_num,angles_true,angles_pred
1,0.5,1,0,20.849264509729423
1,0.5,2,0,17.234525473424558
1,0.5,3,0,23.944361308295953
1,0.5,4,0,19.71538405265041
1,0.5,5,0,4.956885410803869
1,1.0,1,0,16.558349313523216
1,1.0,2,0,9.60894128181088
1,1.0,3,0,9.60894128181088
1,1.0,4,0,19.124308596344544
1,1.0,5,0,17.234525473424558
1,3.0,1,0,16.092247750689154
1,3.0,2,0,16.326916641404875
1,3.0,3,0,14.07850687149399_69.42580672391084
1,3.0,4,0,17.454267197943263
1,3.0,5,0,15.118163298519908
1,5.0,1,0,13.01579867221558_180.0
1,5.0,2,0,9.370543221221926
1,5.0,3,0,10.068973258171237
1,5.0,4,0,12.112358505389173
1,5.0,5,0,11.923590867121822
1,0.5,1,120,120.85986085949364_158.65411166949846
1,0.5,2,120,122.70951083904926
1,0.5,3,120,120.40307144393704
1,0.5,4,120,115.94320543303616
1,0.5,5,120,120.85986085949364
1,1.0,1,120,116.60069923360925
1,1.0,2,120,116.38111988763379
1,1.0,3,120,117.04113030632622
1,1.0,4,120,116.16195713771575
1,1.0,5,120,116.16195713771575
1,3.0,1,120,116.01607733574434
1,3.0,2,120,114.92764017523984
1,3.0,3,120,115.50691333322588
1,3.0,4,120,115.07220066663594
1,3.0,5,120,115.43435268156323
1,5.0,1,120,112.45229071616457
1,5.0,2,120,112.36725942171384
1,5.0,3,120,111.85815168462503
1,5.0,4,120,111.98525676945148
1,5.0,5,120,111.22430306934339
1,0.5,1,150,147.375293982101
1,0.5,2,150,146.65334247999846
1,0.5,3,150,145.94495866238606
1,0.5,4,150,150.41915331957412
1,0.5,5,150,142.5797588082841
1,1.0,1,150,142.90437629678317
1,1.0,2,150,144.56561459437273
1,1.0,3,150,143.89320476647683
1,1.0,4,150,142.5797588082841
1,1.0,5,150,147.7416450173617
1,3.0,1,150,142.6876963768497_104.40828841915852
1,3.0,2,150,142.6876963768497_118.14990235230562
1,3.0,3,150,141.4094475040744
1,3.0,4,150,142.4720863510864
1,3.0,5,150,142.04400168251362
1,5.0,1,150,137.32445664895016
1,5.0,2,150,136.92010572402745
1,5.0,3,150,111.73115961163937_137.38247353212802
1,5.0,4,150,137.32445664895016
1,5.0,5,150,136.74774479499698
1,0.5,1,180,160.92998009443698
1,0.5,2,180,159.76136962234295
1,0.5,3,180,180.0
1,0.5,4,180,158.65411166949846
1,0.5,5,180,163.50408867487081
1,1.0,1,180,170.49805564036143
1,1.0,2,180,166.54673166827564
1,1.0,3,180,154.68357477299816
1,1.0,4,180,156.58923622922893
1,1.0,5,180,157.5990928345457
1,3.0,1,180,163.97195586839325
1,3.0,2,180,162.3872453333126
1,3.0,3,180,164.69983676152404
1,3.0,4,180,163.97195586839325_130.9846389172776
1,3.0,5,180,163.27492985346322
1,5.0,1,180,172.64320443485903
1,5.0,2,180,168.1626852478128
