num_sources,mic_dist,sample_num,angles_true,angles_pred
1,0.5,1,0,21.927059000088388
1,0.5,2,0,18.515099694710834
1,0.5,3,0,23.944361308295953
1,0.5,4,0,19.71538405265041
1,0.5,5,0,4.956885410803869
1,1.0,1,0,16.558349313523216
1,1.0,2,0,9.60894128181088
1,1.0,3,0,9.60894128181088
1,1.0,4,0,19.124308596344544
1,1.0,5,0,17.234525473424558
1,3.0,1,0,16.092247750689154
1,3.0,2,0,16.326916641404875_69.77526424663577
1,3.0,3,0,14.07850687149399_69.07554730342385
1,3.0,4,0,17.671360672195537
1,3.0,5,0,15.118163298519908
1,5.0,1,0,12.840115156283748
1,5.0,2,0,9.608941281840451
1,5.0,3,0,10.068973258171237
1,5.0,4,0,12.298271686912958_97.91466124342247
1,5.0,5,0,11.923590867121822
1,0.5,1,120,120.85986085949364
1,0.5,2,120,122.70951083904926
1,0.5,3,120,121.31883684995248
1,0.5,4,120,115.94320543303616
1,0.5,5,120,120.85986085949364
1,1.0,1,120,116.60069923360925
1,1.0,2,120,116.38111988763379
1,1.0,3,120,117.04113030632622
1,1.0,4,120,116.16195713771575
1,1.0,5,120,116.16195713771575
1,3.0,1,120,115.94320543303769
1,3.0,2,120,114.92764017523984
1,3.0,3,120,115.50691333322588
1,3.0,4,120,115.07220066663594
1,3.0,5,120,115.43435268156323
1,5.0,1,120,112.45229071616457_96.48839684649899
1,5.0,2,120,112.36725942171384_96.68622750761129
1,5.0,3,120,111.85815168462503
1,5.0,4,120,111.98525676945148
1,5.0,5,120,111.22430306934339
1,0.5,1,150,147.375293982101
1,0.5,2,150,146.65334247999846
1,0.5,3,150,145.94495866238606
1,0.5,4,150,150.41915331957412
1,0.5,5,150,142.5797588082841
1,1.0,1,150,142.90437629678317
1,1.0,2,150,144.56561459437273
1,1.0,3,150,143.89320476647683
1,1.0,4,150,142.5797588082841
1,1.0,5,150,147.7416450173617
1,3.0,1,150,142.79590141067217_104.88224596278278
1,3.0,2,150,104.8144747291265_142.79590141067217
1,3.0,3,150,141.4094475040744
1,3.0,4,150,142.4720863510864_104.20547370970138
1,3.0,5,150,142.04400168251362
1,5.0,1,150,137.32445664895016_111.8158084824741
1,5.0,2,150,111.13999724940825_136.92010572402745
1,5.0,3,150,137.38247353212802_112.40976856417065
