num_sources,mic_dist,sample_num,angles_true,angles_pred,angles_true_str,angles_pred_str
1,0.5,1,0,21.927059000088388,0,21.93
1,0.5,2,0,18.515099694710834,0,18.52
1,0.5,3,0,24.895102509063122,0,24.90
1,0.5,4,0,18.515099694710834,0,18.52
1,0.5,5,0,4.956885410803869,0,4.96
1,1.0,1,0,17.234525473424558,0,17.23
1,1.0,2,0,10.722441386930043,0,10.72
1,1.0,3,0,9.60894128181088,0,9.61
1,1.0,4,0,19.124308596344544,0,19.12
1,1.0,5,0,17.885902405059237,0,17.89
1,3.0,1,0,15.85419885066331_69.35581958603994,0,"15.85, 69.36"
1,3.0,2,0,16.326916641404875_47.45829643161654,0,"16.33, 47.46"
1,3.0,3,0,14.345333000680462_69.00539754959789_47.5471440445159,0,"14.35, 69.01, 47.55"
1,3.0,4,0,17.454267197943263_71.37295359716056,0,"17.45, 71.37"
1,3.0,5,0,14.864919410030845,0,14.86
1,5.0,1,0,12.481457988338025,0,12.48
1,5.0,2,0,9.608941281840451,0,9.61
1,5.0,3,0,10.2913566280018,0,10.29
1,5.0,4,0,11.731830961703066,0,11.73
1,5.0,5,0,12.112358505389173_67.7793782069554,0,"12.11, 67.78"
1,0.5,1,120,120.85986085949364,120,120.86
1,0.5,2,120,122.24359702729474,120,122.24
1,0.5,3,120,122.24359702729474,120,122.24
1,0.5,4,120,116.82070080396626,120,116.82
1,0.5,5,120,120.85986085949364,120,120.86
1,1.0,1,120,116.60069923360925,120,116.60
1,1.0,2,120,116.38111988763379,120,116.38
1,1.0,3,120,117.04113030632622,120,117.04
1,1.0,4,120,116.16195713771575,120,116.16
1,1.0,5,120,116.38111988763379,120,116.38
1,3.0,1,120,115.94320543303769,120,115.94
1,3.0,2,120,114.85542351904026,120,114.86
1,3.0,3,120,115.43435268156323,120,115.43
1,3.0,4,120,114.99989916122034,120,115.00
1,3.0,5,120,115.36183570490252,120,115.36
1,5.0,1,120,112.40976856417065_96.56751965509733,120,"112.41, 96.57"
1,5.0,2,120,112.32476325348294_96.88413827726447,120,"112.32, 96.88"
1,5.0,3,120,111.85815168462503,120,111.86
1,5.0,4,120,111.98525676945148,120,111.99
1,5.0,5,120,111.22430306934339,120,111.22
1,0.5,1,150,147.375293982101,150,147.38
1,0.5,2,150,146.65334247999846,150,146.65
1,0.5,3,150,117.70504471015451_145.94495866238606,150,"117.71, 145.94"
1,0.5,4,150,150.41915331957412,150,150.42
1,0.5,5,150,143.23144445021344,150,143.23
1,1.0,1,150,142.90437629678317,150,142.90
1,1.0,2,150,144.56561459437273,150,144.57
1,1.0,3,150,144.56561459437273,150,144.57
1,1.0,4,150,142.5797588082841,150,142.58
1,1.0,5,150,147.7416450173617,150,147.74
1,3.0,1,150,142.79590141067217_104.88224596278278,150,"142.80, 104.88"
